filename,mask_filename,subset,iou,f1
DIS-TE3_11#Furniture#18#TableChair#3518100388_54ea475248_o.jpg,DIS-TE3_11#Furniture#18#TableChair#3518100388_54ea475248_o.png,DIS-TE3,0.09357037353407008,0.17112821597695724
DIS-TE3_17#Non-motor Vehicle#8#Scooter#286182579_2c977c13b8_o.jpg,DIS-TE3_17#Non-motor Vehicle#8#Scooter#286182579_2c977c13b8_o.png,DIS-TE3,0.10289600702062308,0.18659240103441416
DIS-TE3_6#Automobile#6#Excavator#422993_b61a5276f5_o.jpg,DIS-TE3_6#Automobile#6#Excavator#422993_b61a5276f5_o.png,DIS-TE3,0.16341196355866439,0.2809184857594503
DIS-TE3_17#Non-motor Vehicle#4#Cart#IMG_20210512_194551.jpg,DIS-TE3_17#Non-motor Vehicle#4#Cart#IMG_20210512_194551.png,DIS-TE3,0.13132700384148405,0.23216453491440736
DIS-TE3_3#Aquatic#5#Shrimp#48272089916_458f339eb2_o.jpg,DIS-TE3_3#Aquatic#5#Shrimp#48272089916_458f339eb2_o.png,DIS-TE3,0.22837548221174453,0.3718333449647568
DIS-TE3_16#Music Instrument#1#Drum#2568563453_d2b5cfd55a_o.jpg,DIS-TE3_16#Music Instrument#1#Drum#2568563453_d2b5cfd55a_o.png,DIS-TE3,0.2647147977105362,0.418615798897489
DIS-TE3_6#Automobile#3#Car#12335112913_f74e1c7eac_o.jpg,DIS-TE3_6#Automobile#3#Car#12335112913_f74e1c7eac_o.png,DIS-TE3,0.5187723944539648,0.6831469894348138
DIS-TE4_10#Frame#6#Skeleton#33795808900_30d604e615_o.jpg,DIS-TE4_10#Frame#6#Skeleton#33795808900_30d604e615_o.png,DIS-TE4,0.31003158216456683,0.4733192487654401
DIS-TE4_5#Artifact#2#Cage#33940015612_8a6ae4b440_o.jpg,DIS-TE4_5#Artifact#2#Cage#33940015612_8a6ae4b440_o.png,DIS-TE4,0.16055195511287026,0.2766820639188974
DIS-TE4_21#Tool#17#Tripod#6882032659_4edefe231c_o.jpg,DIS-TE4_21#Tool#17#Tripod#6882032659_4edefe231c_o.png,DIS-TE4,0.24194451747116716,0.3896221031899424
DIS-TE4_4#Architecture#12#Scaffold#29128730448_f25f556540_o.jpg,DIS-TE4_4#Architecture#12#Scaffold#29128730448_f25f556540_o.png,DIS-TE4,0.16431000536960802,0.2822444273635665
DIS-TE4_11#Furniture#6#DentalChair#23198511506_f49d3df71d_o.jpg,DIS-TE4_11#Furniture#6#DentalChair#23198511506_f49d3df71d_o.png,DIS-TE4,0.11814252556815852,0.21131926005251808
DIS-TE4_9#Entertainment#6#Trampoline#3548411507_6d5e2e9e30_o.jpg,DIS-TE4_9#Entertainment#6#Trampoline#3548411507_6d5e2e9e30_o.png,DIS-TE4,0.4712713197048506,0.6406314231686262
DIS-TE4_9#Entertainment#1#GymEquipment#18249124911_bf50d4872a_o.jpg,DIS-TE4_9#Entertainment#1#GymEquipment#18249124911_bf50d4872a_o.png,DIS-TE4,0.07848696079547839,0.14555013393502206
DIS-TE4_2#Aircraft#4#Helicopter#36410220685_1b403e5976_o.jpg,DIS-TE4_2#Aircraft#4#Helicopter#36410220685_1b403e5976_o.png,DIS-TE4,0.5113980317207741,0.6767218442629986
DIS-TE4_11#Furniture#17#Table#12606756403_6e21720274_o.jpg,DIS-TE4_11#Furniture#17#Table#12606756403_6e21720274_o.png,DIS-TE4,0.29397403978632375,0.45437393757121775
DIS-TE4_4#Architecture#13#Sculpture#27772393934_5c143aa302_o.jpg,DIS-TE4_4#Architecture#13#Sculpture#27772393934_5c143aa302_o.png,DIS-TE4,0.26493642730177847,0.4188928733231462
DIS-TE4_17#Non-motor Vehicle#9#ShoppingCart#32618595578_ba0e9e2742_o.jpg,DIS-TE4_17#Non-motor Vehicle#9#ShoppingCart#32618595578_ba0e9e2742_o.png,DIS-TE4,0.0,0.0
DIS-TE4_7#Electrical#10#UtilityPole#22289057894_5ab949934c_o.jpg,DIS-TE4_7#Electrical#10#UtilityPole#22289057894_5ab949934c_o.png,DIS-TE4,0.1673842895533422,0.28676810378763246
DIS-TE4_4#Architecture#19#Windmill#7663420684_d621408794_o.jpg,DIS-TE4_4#Architecture#19#Windmill#7663420684_d621408794_o.png,DIS-TE4,0.44819260948293205,0.618968231916273
DIS-TE4_4#Architecture#19#Windmill#5957862810_52c06efd7e_o.jpg,DIS-TE4_4#Architecture#19#Windmill#5957862810_52c06efd7e_o.png,DIS-TE4,0.7904056199778665,0.8829346949744692
DIS-TE4_7#Electrical#9#TransmissionTower#51011573803_1023e14411_o.jpg,DIS-TE4_7#Electrical#9#TransmissionTower#51011573803_1023e14411_o.png,DIS-TE4,0.33546939414496685,0.5023992247456197
DIS-TE4_7#Electrical#2#CeilingLamp#35337630792_c119bbc743_o.jpg,DIS-TE4_7#Electrical#2#CeilingLamp#35337630792_c119bbc743_o.png,DIS-TE4,0.28678325364255863,0.4457366892687601
DIS-TE4_2#Aircraft#2#Balloon#11453566596_124e2f5e7c_o.jpg,DIS-TE4_2#Aircraft#2#Balloon#11453566596_124e2f5e7c_o.png,DIS-TE4,0.11772901428073843,0.21065752570894358
DIS-TE4_4#Architecture#13#Sculpture#47220596481_01682b3c10_o.jpg,DIS-TE4_4#Architecture#13#Sculpture#47220596481_01682b3c10_o.png,DIS-TE4,0.214802128014308,0.353641342998665
DIS-TE4_17#Non-motor Vehicle#10#ShoppingTrolley#251795621_1eb5b8d4ae_o.jpg,DIS-TE4_17#Non-motor Vehicle#10#ShoppingTrolley#251795621_1eb5b8d4ae_o.png,DIS-TE4,0.6174083740925143,0.7634539105671764
DIS-TE4_4#Architecture#8#ObservationTower#8813839504_57d5b91b96_o.jpg,DIS-TE4_4#Architecture#8#ObservationTower#8813839504_57d5b91b96_o.png,DIS-TE4,0.6173108803769305,0.7633793698748381
